enrollment_id,active_days
1,14
4,9
5,11
7,10
13,8
14,8
18,11
20,11
22,2
23,7
26,6
28,6
35,12
39,8
46,1
49,29
53,14
55,9
58,16
60,8
65,7
67,10
70,13
73,8
74,11
76,6
80,2
81,9
82,8
83,6
86,12
88,11
90,14
94,14
96,8
98,14
102,1
103,10
107,3
109,2
112,12
120,8
121,7
130,5
131,1
132,2
133,3
135,13
138,4
140,15
141,6
144,10
146,16
148,18
149,1
150,2
152,8
155,9
156,2
157,4
159,9
160,2
173,17
175,1
182,13
186,3
189,10
190,7
192,19
196,3
198,17
199,10
200,2
201,12
204,3
209,7
212,1
216,10
221,13
226,1
230,1
235,9
239,20
240,12
241,6
244,7
245,7
247,7
249,5
251,5
256,1
262,1
264,1
265,8
266,14
268,12
269,10
270,13
272,12
277,5
279,12
281,1
282,11
284,24
293,4
295,11
297,11
302,17
304,11
307,7
309,8
311,12
316,3
319,13
322,9
323,11
324,10
325,3
327,26
329,7
332,10
339,7
340,6
341,7
344,10
346,5
349,6
351,14
352,12
355,8
357,17
358,1
360,1
366,7
367,1
370,1
371,7
373,11
377,6
382,13
386,2
387,10
394,8
396,6
398,3
399,12
400,7
403,4
407,8
410,1
412,5
414,11
419,1
420,1
421,1
424,5
426,7
428,2
432,14
433,19
435,6
436,8
438,1
441,7
442,4
444,17
445,3
446,2
447,1
450,8
452,8
454,7
458,14
463,1
464,8
469,14
471,10
480,8
484,3
486,4
490,5
500,1
509,5
514,9
515,14
516,12
517,13
522,16
533,6
534,3
535,3
536,6
543,4
547,7
550,2
552,17
555,2
556,4
558,4
561,3
566,9
576,5
579,4
580,11
581,7
584,3
587,8
588,10
589,3
590,2
599,10
600,8
603,1
606,15
609,4
612,5
613,5
614,1
625,4
627,1
629,4
630,2
633,7
638,21
639,11
643,5
645,2
652,3
654,6
658,13
660,6
661,5
667,1
676,5
680,3
682,5
683,2
687,9
691,5
693,13
697,9
700,1
701,4
703,9
704,5
705,1
707,3
709,12
711,12
713,1
714,10
717,15
719,1
726,9
728,7
731,1
733,2
738,8
746,9
750,3
751,15
753,1
756,1
757,4
758,9
761,23
768,1
769,3
771,2
773,2
774,11
778,8
783,9
788,7
790,6
791,7
792,3
793,1
797,1
802,6
803,1
805,5
810,4
818,1
819,3
820,5
821,12
825,5
827,3
833,1
837,7
838,1
841,1
844,2
845,1
848,4
850,2
852,6
854,1
858,13
860,11
862,17
868,11
870,7
872,9
873,1
875,11
878,10
882,13
884,7
885,14
887,14
888,1
890,5
893,1
899,14
900,2
901,5
903,9
906,10
907,6
912,7
919,1
921,14
922,21
923,14
925,5
930,5
935,1
936,12
937,16
938,1
939,4
940,13
941,6
942,2
945,10
950,2
953,11
954,7
955,11
958,4
961,1
