enrollment_id,drop_rate,completion_rate
1,0.4,0.6
15276,0.4,0.6
16051,0.4,0.6
36037,0.4,0.6
36038,0.4,0.6
4,0.5,0.5
1112,0.5,0.5
5,0.0,1.0
7,1.0,0.0
24925,1.0,0.0
13,0.0,1.0
8228,0.0,1.0
14,1.0,0.0
18,0.0,1.0
20,0.4,0.6
23,0.4,0.6
28,0.4,0.6
30947,0.4,0.6
73044,0.4,0.6
22,0.6666666666666666,0.3333333333333333
36227,0.6666666666666666,0.3333333333333333
55598,0.6666666666666666,0.3333333333333333
26,0.0,1.0
142170,0.0,1.0
35,0.0,1.0
31707,0.0,1.0
39,1.0,0.0
46,1.0,0.0
105747,1.0,0.0
49,0.75,0.25
13149,0.75,0.25
43587,0.75,0.25
46646,0.75,0.25
63766,0.75,0.25
103342,0.75,0.25
198962,0.75,0.25
198975,0.75,0.25
53,0.5,0.5
83061,0.5,0.5
55,0.5,0.5
154724,0.5,0.5
58,0.25,0.75
23674,0.25,0.75
31732,0.25,0.75
148712,0.25,0.75
60,0.5,0.5
78946,0.5,0.5
65,1.0,0.0
67,1.0,0.0
70,0.0,1.0
73,1.0,0.0
74,0.6666666666666666,0.3333333333333333
101217,0.6666666666666666,0.3333333333333333
103918,0.6666666666666666,0.3333333333333333
76,0.0,1.0
80,0.0,1.0
81,0.0,1.0
307,0.0,1.0
82,0.0,1.0
83,0.5,0.5
37632,0.5,0.5
86,0.0,1.0
88,0.0,1.0
90,0.0,1.0
94,0.0,1.0
96,0.75,0.25
4994,0.75,0.25
104466,0.75,0.25
183072,0.75,0.25
98,0.5,0.5
102887,0.5,0.5
102,1.0,0.0
103,0.0,1.0
107,1.0,0.0
109,1.0,0.0
112,0.75,0.25
57517,0.75,0.25
78800,0.75,0.25
89835,0.75,0.25
120,0.0,1.0
190,0.0,1.0
97249,0.0,1.0
121,0.0,1.0
130,0.0,1.0
131,1.0,0.0
132,1.0,0.0
133,1.0,0.0
135,0.5,0.5
84160,0.5,0.5
138,0.0,1.0
140,1.0,0.0
141,1.0,0.0
144,0.0,1.0
146,0.0,1.0
148,0.0,1.0
4664,0.0,1.0
63592,0.0,1.0
149,1.0,0.0
36602,1.0,0.0
150,0.0,1.0
152,0.0,1.0
155,0.0,1.0
156,1.0,0.0
818,1.0,0.0
60288,1.0,0.0
157,1.0,0.0
159,0.75,0.25
61973,0.75,0.25
61980,0.75,0.25
61997,0.75,0.25
160,0.5,0.5
75190,0.5,0.5
173,0.6666666666666666,0.3333333333333333
74129,0.6666666666666666,0.3333333333333333
96834,0.6666666666666666,0.3333333333333333
175,1.0,0.0
256,1.0,0.0
182,0.0,1.0
186,0.3333333333333333,0.6666666666666666
43680,0.3333333333333333,0.6666666666666666
60489,0.3333333333333333,0.6666666666666666
188578,0.3333333333333333,0.6666666666666666
188579,0.3333333333333333,0.6666666666666666
188580,0.3333333333333333,0.6666666666666666
189,0.0,1.0
192,0.0,1.0
196,1.0,0.0
198,0.0,1.0
199,0.0,1.0
200,1.0,0.0
16264,1.0,0.0
49568,1.0,0.0
60237,1.0,0.0
118599,1.0,0.0
118616,1.0,0.0
201,0.0,1.0
204,0.0,1.0
209,0.0,1.0
212,1.0,0.0
216,0.6666666666666666,0.3333333333333333
32826,0.6666666666666666,0.3333333333333333
83141,0.6666666666666666,0.3333333333333333
221,1.0,0.0
226,1.0,0.0
230,1.0,0.0
47686,1.0,0.0
235,1.0,0.0
239,0.0,1.0
240,0.0,1.0
241,0.0,1.0
244,0.0,1.0
245,0.4,0.6
16124,0.4,0.6
16135,0.4,0.6
39142,0.4,0.6
78690,0.4,0.6
247,0.0,1.0
