enrollment_id,number_of_course
1,5
15276,5
16051,5
36037,5
36038,5
4,2
1112,2
5,1
7,2
24925,2
13,2
8228,2
14,1
18,1
20,5
23,5
28,5
30947,5
73044,5
22,3
36227,3
55598,3
26,2
142170,2
35,2
31707,2
39,1
46,2
105747,2
49,8
13149,8
43587,8
46646,8
63766,8
103342,8
198962,8
198975,8
53,2
83061,2
55,2
154724,2
58,4
23674,4
31732,4
148712,4
60,2
78946,2
65,1
67,1
70,1
73,1
74,3
101217,3
103918,3
76,1
80,1
81,2
307,2
82,1
83,2
37632,2
86,1
88,1
90,1
94,1
96,4
4994,4
104466,4
183072,4
98,2
102887,2
102,1
103,1
107,1
109,1
112,4
57517,4
78800,4
89835,4
120,3
190,3
97249,3
121,1
130,1
131,1
132,1
133,1
135,2
84160,2
138,1
140,1
141,1
144,1
146,1
148,3
4664,3
63592,3
149,2
36602,2
150,1
152,1
155,1
156,3
818,3
60288,3
157,1
159,4
61973,4
61980,4
61997,4
160,2
75190,2
173,3
74129,3
96834,3
175,2
256,2
182,1
186,6
43680,6
60489,6
188578,6
188579,6
188580,6
189,1
192,1
196,1
198,1
199,1
200,6
16264,6
49568,6
60237,6
118599,6
118616,6
201,1
204,1
209,1
212,1
216,3
32826,3
83141,3
221,1
226,1
230,2
47686,2
235,1
239,1
240,1
241,1
244,1
245,5
16124,5
16135,5
39142,5
78690,5
247,1
249,2
27218,2
251,1
262,1
264,1
265,1
266,4
40953,4
40955,4
103455,4
268,1
269,3
48734,3
87137,3
270,2
2481,2
272,1
277,2
31376,2
279,1
281,1
282,2
41210,2
284,3
21467,3
75187,3
293,1
295,2
53105,2
297,1
302,1
304,1
309,3
87245,3
196974,3
311,3
96980,3
103162,3
316,1
319,1
322,1
323,2
55443,2
324,1
325,1
327,2
83413,2
329,2
48115,2
332,2
26475,2
339,1
340,3
90452,3
102759,3
341,1
344,2
15781,2
346,1
349,2
26041,2
351,1
352,1
355,1
357,3
99807,3
108114,3
358,2
91070,2
360,1
366,1
367,1
370,1
371,2
64141,2
373,1
377,1
382,1
386,1
387,1
394,1
396,1
398,1
399,1
400,2
23798,2
403,1
407,1
410,2
419,2
412,1
414,1
420,1
421,1
424,1
426,1
428,1
432,5
4737,5
5803,5
6037,5
6041,5
433,2
7777,2
435,1
436,1
438,1
441,1
442,1
444,1
445,1
446,1
447,1
450,1
452,1
454,1
458,1
463,1
464,1
469,1
471,1
480,1
484,1
486,1
490,1
500,1
509,1
514,1
515,2
75568,2
516,1
517,1
522,1
533,1
534,1
535,2
21496,2
536,1
543,2
136163,2
547,1
550,1
552,2
75995,2
555,1
556,1
558,2
580,2
561,2
176978,2
566,1
576,1
579,1
581,1
584,2
124863,2
587,1
588,1
589,1
590,1
599,1
600,1
603,1
606,3
87175,3
87229,3
609,1
612,1
613,1
614,1
625,1
627,1
629,1
630,3
4091,3
36029,3
633,1
638,1
639,3
38984,3
72258,3
643,1
645,1
652,1
654,1
658,1
660,3
32271,3
135522,3
661,1
667,1
676,1
680,1
682,1
683,4
17832,4
71720,4
73218,4
687,1
691,2
50901,2
693,2
82632,2
697,5
25827,5
85891,5
127928,5
200082,5
700,1
701,1
703,1
704,2
97440,2
705,1
707,2
67897,2
709,3
68669,3
77917,3
711,1
713,1
714,1
717,1
719,1
726,2
66552,2
728,1
731,1
733,3
40009,3
41219,3
738,2
97658,2
746,2
76985,2
750,1
751,1
753,1
756,2
757,2
758,2
55360,2
761,4
23898,4
69566,4
188826,4
768,1
769,1
771,3
797,3
34133,3
773,1
774,2
17697,2
778,2
60644,2
783,1
788,1
790,2
118252,2
791,4
7967,4
10909,4
104738,4
792,1
793,1
802,2
11974,2
803,1
805,1
810,1
819,1
820,2
37576,2
821,2
50024,2
825,2
39858,2
827,1
833,1
837,3
1654,3
63624,3
838,1
841,1
844,1
845,1
848,2
50767,2
850,1
852,1
854,1
858,1
860,1
862,1
868,1
870,1
872,1
873,1
875,3
69326,3
69327,3
878,1
882,1
884,1
885,1
887,2
5493,2
888,1
890,1
893,1
899,1
900,1
901,1
903,1
906,1
907,1
912,1
919,1
921,3
35119,3
93193,3
922,2
58786,2
923,1
925,1
930,1
935,1
936,2
113989,2
937,7
10096,7
30743,7
37794,7
53314,7
104425,7
123244,7
938,3
32695,3
32700,3
939,1
940,2
26123,2
941,1
942,4
9777,4
10651,4
93198,4
945,2
62435,2
950,1
953,5
954,5
7396,5
9544,5
192414,5
955,1
958,1
961,1
962,1
963,1
965,2
55180,2
967,3
33075,3
165583,3
974,1
988,1
991,1
992,2
1164,2
994,1
996,3
11305,3
11317,3
997,1
1000,2
10095,2
1005,1
1007,1
1019,1
1020,1
1022,1
1024,1
1028,3
40139,3
49194,3
1029,2
49307,2
1030,2
42129,2
1031,1
1033,1
1041,2
27321,2
1044,1
1050,1
1052,1
1058,1
1072,2
87503,2
1073,1
1074,1
1075,4
9262,4
10907,4
50511,4
1077,1
1078,2
95542,2
1080,6
6338,6
21451,6
21452,6
75752,6
190827,6
1082,2
145118,2
1084,1
1085,1
1086,1
1090,1
1091,2
97651,2
1095,1
1098,1
1101,2
124669,2
1116,1
1124,5
9821,5
23319,5
84993,5
104648,5
1126,1
1128,1
1129,1
1131,1
1134,3
125312,3
154775,3
1135,1
1136,1
1137,1
1139,1
1141,1
1143,1
1144,2
95832,2
1147,6
18634,6
37521,6
63855,6
77267,6
106093,6
1150,2
9617,2
1153,2
1163,2
1154,1
1162,1
1167,2
6818,2
1168,2
48406,2
1169,1
1170,1
1172,1
1174,1
1176,2
1177,2
1181,1
1182,1
1183,1
1187,2
92454,2
1190,4
6026,4
95053,4
120251,4
1192,2
9114,2
1195,1
1196,8
23960,8
24211,8
26590,8
27145,8
27166,8
108434,8
164220,8
1199,1
1203,2
32363,2
1204,1
1206,2
142287,2
1212,3
11756,3
54448,3
1213,4
17273,4
194853,4
194869,4
1222,2
46414,2
1228,2
169056,2
1230,1
1240,1
1241,3
72401,3
106751,3
1244,1
1248,7
38812,7
80012,7
120587,7
143550,7
