enrollment_id,number_of_module
1,95
4,29
5,111
7,86
13,100
14,44
18,45
20,27
22,49
23,20
26,43
28,24
35,39
39,37
46,1
49,95
53,64
55,57
58,100
60,33
65,29
67,44
70,40
73,22
74,53
76,52
80,24
81,51
82,39
83,14
86,60
88,52
90,67
94,29
96,40
98,42
102,1
103,69
107,28
109,12
112,72
120,80
121,38
130,25
131,4
132,8
133,63
135,30
138,55
140,6
141,59
144,87
146,62
148,61
149,8
150,14
152,58
155,49
156,6
157,31
159,79
160,22
173,76
175,12
182,53
186,39
189,68
190,66
192,91
196,42
198,71
199,136
200,6
201,56
204,23
209,49
212,8
216,26
221,59
226,1
230,1
235,31
239,38
240,67
241,39
244,58
245,14
247,32
249,24
251,55
256,6
262,2
264,21
265,26
266,59
268,65
269,54
270,28
272,9
277,29
279,54
281,1
282,69
284,99
293,19
295,80
297,55
302,65
304,67
307,38
309,66
311,52
316,13
319,49
322,43
323,73
324,50
325,19
327,75
329,45
332,26
339,48
340,21
341,73
344,80
346,62
349,51
351,58
352,86
355,43
357,42
358,7
360,5
366,38
367,9
370,12
371,54
373,71
377,25
382,65
386,30
387,41
394,63
396,55
398,29
399,74
400,26
403,37
407,28
410,8
412,35
414,83
419,1
420,1
421,2
424,25
426,51
428,21
432,26
433,61
435,37
436,50
438,11
441,55
442,57
444,71
445,19
446,30
447,2
450,43
452,54
454,27
458,56
463,1
464,78
469,59
471,43
480,46
484,47
486,28
490,52
500,1
509,39
514,37
515,91
516,66
517,71
522,83
533,30
534,17
535,42
536,28
543,25
547,37
550,19
552,55
555,2
556,56
558,30
561,37
566,29
576,57
579,22
580,50
581,47
584,42
587,41
588,55
589,18
590,8
599,48
600,31
603,1
606,71
609,28
612,46
613,35
614,12
625,59
627,17
629,32
630,10
633,42
638,79
639,81
643,19
645,20
652,32
654,41
658,49
660,62
661,40
667,1
676,26
680,43
682,41
683,18
687,28
691,37
693,79
697,40
700,4
701,33
703,53
704,54
705,8
707,44
709,52
711,72
713,1
714,38
717,58
719,5
726,52
728,48
731,1
733,25
738,37
746,34
750,37
751,67
753,4
756,1
757,76
758,51
761,64
768,1
769,43
771,15
773,10
774,72
778,59
783,29
788,51
790,59
791,39
792,17
793,1
797,1
802,64
803,11
805,26
810,31
818,7
819,13
820,22
821,72
825,59
827,28
833,10
837,46
838,1
841,1
844,13
845,1
848,52
850,2
852,72
854,1
858,56
860,38
862,56
868,28
870,38
872,60
873,1
875,45
878,40
882,54
884,90
885,82
887,56
888,14
890,25
893,11
899,54
900,7
901,43
903,74
906,58
907,41
912,48
919,13
921,66
922,55
923,37
925,25
930,16
935,6
936,58
937,79
938,12
939,49
940,81
941,53
942,1
945,58
950,9
953,39
954,45
955,62
958,24
961,5
962,12
963,47
965,70
967,40
974,24
988,66
991,20
992,16
994,47
996,24
997,41
1000,83
1005,39
1007,66
1019,69
1020,70
1022,18
1024,78
1028,77
1029,36
1030,73
1031,5
1033,52
1041,59
1044,35
1050,58
1052,1
1058,41
1072,1
1073,18
1074,39
1075,18
1077,67
1078,82
1080,55
1082,15
1084,43
1085,59
1086,53
1090,54
1091,62
1095,72
1098,43
1101,72
1112,33
1116,76
1124,36
1126,16
1128,54
1129,36
1131,18
1134,53
1135,40
1136,8
1137,81
1139,48
1141,35
1143,30
1144,93
1147,135
1150,103
1153,4
1154,26
1162,19
1163,34
1164,7
1167,67
1168,15
1169,78
1170,73
1172,37
1174,31
1176,1
1177,1
1181,14
1182,37
1183,28
1187,22
1190,19
1192,44
1195,51
1196,34
1199,2
1203,48
1204,3
1206,41
1212,56
1213,16
1222,13
1228,21
1230,58
1240,16
1241,25
1244,10
1248,55
1250,12
1252,113
1253,32
1257,47
1258,59
1260,108
1263,54
1264,57
1271,9
1273,1
1274,4
1280,33
1281,72
1283,12
1285,38
1287,52
1289,141
1290,52
1292,59
1295,1
1296,23
1309,58
1310,54
1311,60
1316,62
1323,4
1331,34
1337,45
1341,25
1342,6
1344,28
1348,1
1350,39
1351,55
1352,54
1353,54
1357,74
1363,30
1364,51
1366,49
1367,7
1371,43
1376,29
1377,83
1379,44
1380,11
1386,37
1389,26
1392,35
1393,25
1397,46
1398,16
1401,36
1402,5
1405,35
1406,155
1409,62
1410,54
1412,6
1414,73
1417,31
1418,1
1423,80
1425,21
1427,33
1429,113
1430,60
1431,2
1433,49
1437,74
1438,22
1442,43
1443,54
1446,77
1451,54
1453,14
1455,75
1456,7
1457,35
1458,17
1463,51
1465,4
1466,52
1469,48
1473,82
1474,34
1477,36
1478,69
1481,49
1484,31
1485,70
1486,15
1488,2
1489,28
1490,30
1493,37
1497,27
1500,37
1501,53
1506,34
1516,37
1518,12
1519,63
1520,69
1521,102
1525,68
1535,22
1536,1
1541,5
1542,58
1545,33
1548,68
1549,2
1550,61
1557,58
1558,26
1562,4
1564,46
1567,17
1569,62
1572,28
1575,48
1578,48
1579,26
1582,34
1585,39
1587,11
1588,31
1592,32
1601,12
1604,44
1606,40
1607,5
1608,60
1614,7
1617,7
1620,39
1621,98
1628,48
1629,12
1630,46
1632,43
1633,38
1634,60
1639,16
1645,2
1647,64
1648,64
1649,39
1650,6
1653,6
1654,15
1663,8
1668,15
1672,1
1673,28
1676,8
1677,87
1678,25
1679,21
1681,56
1685,1
1687,16
1690,31
1692,1
1698,14
1700,7
1701,31
