enrollment_id,number_of_users_in_course
1,6241
4,6241
14,6241
18,6241
20,6241
26,6241
35,6241
39,6241
53,6241
60,6241
65,6241
67,6241
73,6241
74,6241
76,6241
81,6241
83,6241
86,6241
88,6241
90,6241
94,6241
98,6241
102,6241
103,6241
107,6241
112,6241
120,6241
121,6241
130,6241
131,6241
133,6241
140,6241
146,6241
148,6241
152,6241
155,6241
157,6241
159,6241
173,6241
186,6241
189,6241
196,6241
198,6241
201,6241
209,6241
212,6241
216,6241
221,6241
235,6241
244,6241
245,6241
247,6241
251,6241
256,6241
264,6241
268,6241
269,6241
277,6241
279,6241
281,6241
282,6241
293,6241
295,6241
297,6241
302,6241
304,6241
311,6241
316,6241
319,6241
323,6241
325,6241
327,6241
332,6241
339,6241
340,6241
341,6241
344,6241
346,6241
349,6241
351,6241
352,6241
355,6241
358,6241
366,6241
367,6241
371,6241
382,6241
387,6241
394,6241
396,6241
398,6241
399,6241
403,6241
410,6241
414,6241
420,6241
421,6241
426,6241
432,6241
436,6241
438,6241
441,6241
442,6241
444,6241
450,6241
452,6241
463,6241
464,6241
469,6241
471,6241
480,6241
490,6241
514,6241
515,6241
516,6241
517,6241
522,6241
543,6241
550,6241
552,6241
576,6241
579,6241
580,6241
581,6241
584,6241
588,6241
599,6241
600,6241
603,6241
606,6241
612,6241
613,6241
625,6241
629,6241
633,6241
638,6241
639,6241
645,6241
652,6241
654,6241
660,6241
661,6241
667,6241
680,6241
691,6241
693,6241
701,6241
703,6241
704,6241
707,6241
709,6241
711,6241
717,6241
726,6241
728,6241
731,6241
733,6241
746,6241
751,6241
757,6241
758,6241
761,6241
769,6241
771,6241
773,6241
774,6241
778,6241
788,6241
790,6241
802,6241
810,6241
819,6241
825,6241
841,6241
844,6241
848,6241
852,6241
858,6241
862,6241
870,6241
872,6241
875,6241
878,6241
885,6241
887,6241
890,6241
899,6241
900,6241
901,6241
903,6241
906,6241
907,6241
912,6241
919,6241
921,6241
922,6241
923,6241
925,6241
930,6241
935,6241
940,6241
941,6241
945,6241
954,6241
955,6241
958,6241
965,6241
967,6241
988,6241
994,6241
996,6241
1000,6241
1005,6241
1007,6241
1020,6241
1024,6241
1028,6241
1029,6241
1031,6241
1033,6241
1050,6241
1073,6241
1074,6241
1077,6241
1078,6241
1080,6241
1084,6241
1085,6241
1086,6241
