enrollment_id,parallel_enrollments
1,4
15276,4
16051,4
36037,4
36038,4
4,1
1112,1
5,0
7,1
24925,1
13,1
8228,1
14,0
18,0
20,4
23,4
28,4
30947,4
73044,4
22,1
36227,1
55598,1
26,0
142170,0
35,1
31707,1
39,0
46,1
105747,1
49,4
13149,4
43587,4
46646,4
63766,4
103342,4
198962,4
198975,4
53,1
83061,1
55,1
154724,1
58,3
23674,3
31732,3
148712,3
60,1
78946,1
65,0
67,0
70,0
73,0
74,2
101217,2
103918,2
76,0
80,0
81,1
307,1
82,0
83,1
37632,1
86,0
88,0
90,0
94,0
96,2
4994,2
104466,2
183072,2
98,1
102887,1
102,0
103,0
107,0
109,0
112,3
57517,3
78800,3
89835,3
120,2
190,2
97249,2
121,0
130,0
131,0
132,0
133,0
135,1
84160,1
138,0
140,0
141,0
144,0
146,0
148,2
4664,2
63592,2
149,1
36602,1
150,0
152,0
155,0
156,2
818,2
60288,2
157,0
159,3
61973,3
61980,3
61997,3
160,1
75190,1
173,2
74129,2
96834,2
175,1
256,1
182,0
186,4
43680,4
60489,4
188578,4
188579,4
188580,4
189,0
192,0
196,0
198,0
199,0
200,3
16264,3
49568,3
60237,3
118599,3
118616,3
201,0
204,0
209,0
212,0
216,2
32826,2
83141,2
221,0
226,0
230,1
47686,1
235,0
239,0
240,0
241,0
244,0
245,3
16124,3
16135,3
39142,3
78690,3
247,0
249,1
27218,1
251,0
262,0
264,0
265,0
266,3
40953,3
40955,3
103455,3
268,0
269,2
48734,2
87137,2
270,0
2481,0
272,0
277,1
31376,1
279,0
281,0
282,1
41210,1
284,2
21467,2
75187,2
293,0
295,1
53105,1
297,0
302,0
304,0
309,2
87245,2
196974,2
311,2
96980,2
103162,2
316,0
319,0
322,0
323,1
55443,1
324,0
325,0
327,1
83413,1
329,1
48115,1
332,1
26475,1
339,0
340,2
90452,2
102759,2
341,0
344,1
15781,1
346,0
349,1
26041,1
351,0
352,0
355,0
357,2
99807,2
108114,2
358,1
91070,1
360,0
366,0
367,0
370,0
371,1
64141,1
373,0
377,0
382,0
386,0
387,0
394,0
396,0
398,0
399,0
400,1
23798,1
403,0
407,0
410,1
419,1
412,0
414,0
420,0
421,0
424,0
426,0
428,0
432,3
4737,3
5803,3
6037,3
6041,3
433,1
7777,1
435,0
436,0
438,0
441,0
442,0
444,0
445,0
446,0
447,0
450,0
452,0
454,0
458,0
463,0
464,0
469,0
471,0
480,0
484,0
486,0
490,0
500,0
509,0
514,0
515,1
75568,1
516,0
517,0
522,0
533,0
534,0
535,1
21496,1
536,0
543,1
136163,1
547,0
550,0
552,1
75995,1
555,0
556,0
558,1
580,1
561,1
176978,1
566,0
576,0
579,0
581,0
584,1
124863,1
587,0
588,0
589,0
590,0
599,0
600,0
603,0
606,2
87175,2
87229,2
609,0
612,0
613,0
614,0
625,0
627,0
629,0
630,0
4091,0
36029,0
633,0
638,0
639,2
38984,2
72258,2
643,0
645,0
652,0
654,0
658,0
660,2
32271,2
135522,2
661,0
667,0
676,0
680,0
682,0
683,1
17832,1
71720,1
73218,1
687,0
691,0
50901,0
693,1
82632,1
697,1
25827,1
85891,1
127928,1
200082,1
700,0
701,0
