enrollment_id,percentage_of_module
1,0.38
4,0.116
5,0.3592233009708738
7,0.2783171521035599
13,0.1984126984126984
14,0.176
18,0.18
20,0.108
22,0.15857605177993528
23,0.12269938650306748
26,0.172
28,0.13872832369942195
35,0.156
39,0.148
46,0.005494505494505495
49,0.3074433656957929
53,0.256
55,0.3496932515337423
58,0.32362459546925565
60,0.132
65,0.116
67,0.176
70,0.24539877300613497
73,0.088
74,0.212
76,0.208
80,0.147239263803681
81,0.204
82,0.2392638036809816
83,0.056
86,0.24
88,0.208
90,0.268
94,0.116
96,0.12944983818770225
98,0.168
102,0.004
103,0.276
107,0.112
109,0.0736196319018405
112,0.288
120,0.32
121,0.152
130,0.1
131,0.016
132,0.046242774566473986
133,0.252
135,0.18404907975460122
138,0.3374233128834356
140,0.024
141,0.19093851132686085
144,0.5028901734104047
146,0.248
148,0.244
149,0.049079754601226995
150,0.08588957055214724
152,0.232
155,0.196
156,0.03468208092485549
157,0.124
159,0.316
160,0.13496932515337423
173,0.304
175,0.0736196319018405
182,0.32515337423312884
186,0.156
189,0.272
190,0.4049079754601227
192,0.29449838187702265
196,0.168
198,0.284
199,0.4401294498381877
200,0.011904761904761904
201,0.224
204,0.1411042944785276
209,0.196
212,0.032
216,0.104
221,0.236
226,0.006134969325153374
230,0.005780346820809248
235,0.124
239,0.2331288343558282
240,0.4110429447852761
241,0.2392638036809816
244,0.232
245,0.056
247,0.128
249,0.147239263803681
251,0.22
256,0.024
262,0.012269938650306749
264,0.084
265,0.14285714285714285
266,0.34104046242774566
268,0.26
269,0.216
270,0.17177914110429449
272,0.017857142857142856
277,0.116
279,0.216
281,0.004
282,0.276
284,0.32038834951456313
293,0.076
295,0.32
297,0.22
302,0.26
304,0.268
307,0.2331288343558282
309,0.4049079754601227
311,0.208
316,0.052
319,0.196
322,0.26380368098159507
323,0.292
324,0.3067484662576687
325,0.076
327,0.3
329,0.26011560693641617
332,0.104
339,0.192
340,0.084
341,0.292
344,0.32
346,0.248
349,0.204
351,0.232
352,0.344
355,0.172
357,0.23076923076923078
358,0.028
360,0.03067484662576687
366,0.152
367,0.036
370,0.0736196319018405
371,0.216
373,0.2297734627831715
377,0.15337423312883436
382,0.26
386,0.18404907975460122
387,0.164
394,0.252
396,0.22
398,0.116
399,0.296
400,0.15950920245398773
403,0.148
407,0.17177914110429449
410,0.032
412,0.2147239263803681
414,0.332
419,0.006134969325153374
420,0.004
421,0.008
424,0.15337423312883436
426,0.204
428,0.12883435582822086
432,0.104
433,0.19741100323624594
435,0.22699386503067484
436,0.2
438,0.044
441,0.22
442,0.228
444,0.284
445,0.10982658959537572
