enrollment_id,time_access_browser,time_access_server,time_navigate_server,time_problem_browser,time_problem_server,time_page_close_browser,time_video_browser,time_discussion_server,time_wiki_server
1,692.0,3705.0,5173.0,4655.0,1203.0,4110.0,3695.0,0.0,0.0
4,0.0,27115.0,301.0,71.0,16.0,101.0,15.0,0.0,0.0
5,21566.0,1559.0,9204.0,10950.0,14499.0,16179.0,49521.0,6816.0,0.0
7,8969.0,294.0,564.0,2355.0,598.0,3274.0,11500.0,5200.0,0.0
13,1926.0,24630.0,531.0,78.0,823.0,1107.0,14415.0,18.0,0.0
14,0.0,21625.0,108.0,176.0,219.0,1.0,3822.0,0.0,0.0
18,3789.0,31728.0,1219.0,593.0,168.0,14562.0,8232.0,27.0,457.0
20,0.0,3097.0,91.0,0.0,0.0,1023.0,2526.0,3.0,2.0
22,1146.0,257.0,572.0,636.0,1957.0,7377.0,8868.0,0.0,0.0
23,0.0,912.0,82.0,0.0,0.0,685.0,644.0,0.0,0.0
26,1447.0,11448.0,560.0,30.0,9.0,38643.0,9385.0,16.0,0.0
28,167.0,467.0,32.0,27.0,27.0,322.0,3022.0,0.0,0.0
35,1206.0,1042.0,5739.0,441.0,417.0,6142.0,478.0,733.0,3.0
39,71.0,4630.0,2961.0,992.0,67.0,8707.0,9490.0,33.0,10.0
46,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
49,28408.0,26629.0,43803.0,2370.0,17806.0,40695.0,16698.0,351560.0,0.0
53,1212.0,1979.0,376.0,60.0,71.0,11997.0,19422.0,731.0,21.0
55,21.0,6672.0,756.0,896.0,244.0,17019.0,6121.0,1102.0,64.0
58,9600.0,11308.0,3145.0,16234.0,3365.0,20749.0,7782.0,1682.0,6.0
60,676.0,1669.0,243.0,237.0,57.0,529.0,0.0,1930.0,45.0
65,0.0,975.0,96.0,0.0,17.0,7289.0,16701.0,0.0,4.0
67,728.0,8249.0,5455.0,269.0,35.0,16007.0,20740.0,1637.0,18.0
70,0.0,21695.0,128.0,1455.0,202.0,0.0,800.0,307.0,1.0
73,1427.0,681.0,1226.0,310.0,21.0,9098.0,0.0,0.0,0.0
74,30.0,32541.0,2025.0,49.0,0.0,13437.0,1439.0,4545.0,88.0
76,164.0,16424.0,187.0,82.0,44.0,1360.0,4082.0,0.0,0.0
80,0.0,8959.0,1937.0,158.0,256.0,0.0,337.0,0.0,0.0
81,142.0,509.0,57.0,316.0,123.0,11488.0,20110.0,27.0,0.0
82,0.0,1595.0,1053.0,1006.0,139.0,5209.0,11865.0,612.0,275.0
83,0.0,4534.0,6303.0,0.0,0.0,1923.0,0.0,0.0,0.0
86,6048.0,50166.0,1588.0,275.0,23.0,50.0,141.0,1695.0,3.0
88,683.0,11594.0,849.0,2479.0,188.0,10953.0,841.0,729.0,24.0
90,1541.0,2459.0,1285.0,3800.0,1460.0,32492.0,30227.0,288.0,0.0
94,0.0,547.0,6220.0,1011.0,8.0,5796.0,1571.0,31.0,5.0
96,1340.0,5267.0,23.0,106.0,402.0,575.0,6261.0,1002.0,0.0
98,2.0,1400.0,3492.0,46.0,14.0,3281.0,8896.0,584.0,4.0
102,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
103,4161.0,22739.0,237.0,562.0,98.0,48.0,2023.0,355.0,0.0
107,499.0,9719.0,1872.0,262.0,46.0,5219.0,0.0,985.0,0.0
109,0.0,801.0,25.0,0.0,0.0,501.0,858.0,0.0,0.0
112,2699.0,62194.0,1137.0,1266.0,805.0,971.0,2117.0,819.0,7.0
120,738.0,1711.0,1548.0,356.0,46.0,5132.0,17470.0,2321.0,8.0
121,1734.0,11787.0,549.0,274.0,2646.0,2780.0,1164.0,45.0,9.0
130,18.0,8435.0,28.0,47.0,17.0,638.0,41.0,5.0,4.0
131,0.0,107.0,133.0,0.0,0.0,107.0,0.0,0.0,0.0
132,0.0,954.0,43.0,0.0,0.0,0.0,278.0,0.0,0.0
133,3.0,1400.0,37.0,154.0,44.0,5171.0,29141.0,0.0,0.0
135,155.0,2049.0,208.0,280.0,864.0,4938.0,2833.0,751.0,70.0
138,20.0,548.0,584.0,244.0,132.0,2676.0,7032.0,245.0,17.0
140,0.0,4677.0,954.0,0.0,0.0,1.0,0.0,0.0,0.0
141,2007.0,2787.0,13115.0,701.0,753.0,21496.0,14680.0,8594.0,0.0
144,3732.0,1232.0,828.0,313.0,10.0,1140.0,13211.0,427.0,0.0
146,1490.0,17537.0,209.0,98.0,65.0,13729.0,22346.0,38.0,10.0
148,688.0,27195.0,172.0,1112.0,155.0,2497.0,10089.0,994.0,4.0
149,0.0,456.0,151.0,76.0,85.0,0.0,0.0,0.0,0.0
150,4.0,34.0,28.0,181.0,225.0,2015.0,0.0,0.0,0.0
152,2824.0,26890.0,1003.0,800.0,97.0,5614.0,4643.0,821.0,16.0
155,1881.0,28974.0,492.0,174.0,2094.0,876.0,2558.0,737.0,2.0
156,0.0,689.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0
157,88.0,274.0,39.0,120.0,2036.0,956.0,0.0,0.0,0.0
159,3045.0,53031.0,816.0,712.0,865.0,28923.0,36093.0,605.0,1.0
160,0.0,221.0,33.0,125.0,0.0,1980.0,3919.0,0.0,0.0
173,7391.0,14790.0,4859.0,2232.0,170.0,39936.0,55957.0,44.0,33.0
175,0.0,19.0,55.0,0.0,0.0,7018.0,2509.0,0.0,8.0
182,0.0,4890.0,682.0,739.0,197.0,12007.0,9020.0,2824.0,209.0
186,0.0,22656.0,2217.0,68.0,42.0,0.0,7725.0,12.0,2.0
189,2804.0,12202.0,996.0,1835.0,108.0,25659.0,38622.0,3673.0,21.0
190,0.0,133.0,143.0,343.0,2674.0,3625.0,14491.0,8251.0,31.0
192,3439.0,7230.0,634.0,200.0,96.0,5609.0,18174.0,0.0,0.0
196,1160.0,208.0,136.0,132.0,0.0,1330.0,4.0,1.0,8.0
198,0.0,20883.0,1053.0,77.0,8.0,20326.0,35188.0,0.0,0.0
199,27779.0,2959.0,923.0,2636.0,5155.0,18334.0,10047.0,30445.0,32.0
200,78.0,11.0,120.0,0.0,0.0,141.0,650.0,0.0,0.0
201,1169.0,3725.0,806.0,188.0,131.0,16489.0,14911.0,178.0,0.0
204,0.0,13314.0,411.0,294.0,62.0,0.0,2192.0,374.0,1924.0
209,2.0,759.0,123.0,144.0,59.0,9351.0,9918.0,0.0,0.0
212,0.0,656.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0
216,1.0,636.0,246.0,54.0,0.0,9639.0,3292.0,47.0,38.0
221,2035.0,1450.0,3570.0,1880.0,10.0,20290.0,10131.0,7.0,5.0
226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,377.0,12097.0,1357.0,53.0,16.0,1123.0,4.0,54.0,143.0
239,4196.0,26848.0,3347.0,642.0,211.0,282.0,411.0,331.0,0.0
240,24.0,113534.0,3700.0,316.0,276.0,10512.0,64736.0,29996.0,0.0
241,0.0,9884.0,587.0,141.0,6375.0,1816.0,2904.0,168.0,33.0
244,1033.0,2820.0,106.0,928.0,26.0,9165.0,14653.0,240.0,0.0
245,371.0,268.0,280.0,211.0,49.0,407.0,0.0,0.0,0.0
247,704.0,26773.0,311.0,181.0,726.0,136.0,0.0,0.0,0.0
249,0.0,942.0,28.0,131.0,1.0,2240.0,3268.0,0.0,0.0
251,762.0,30593.0,405.0,966.0,152.0,148.0,0.0,194.0,27.0
256,6.0,8.0,12.0,0.0,0.0,71.0,0.0,0.0,0.0
262,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
264,5.0,9681.0,2019.0,1.0,36.0,0.0,816.0,14.0,20.0
265,2621.0,11289.0,129.0,67.0,78.0,0.0,2974.0,0.0,0.0
266,797.0,14943.0,274.0,761.0,0.0,344.0,100.0,176.0,58.0
268,2859.0,77792.0,16706.0,818.0,38.0,5.0,21749.0,1504.0,0.0
269,103.0,20466.0,580.0,2311.0,48.0,10652.0,1892.0,41.0,2.0
270,0.0,17593.0,326.0,1078.0,132.0,0.0,0.0,564.0,0.0
272,3134.0,219.0,5872.0,0.0,0.0,103.0,0.0,7527.0,0.0
277,21.0,22306.0,3108.0,276.0,49.0,762.0,0.0,155.0,17.0
279,377.0,3335.0,1528.0,71.0,14.0,17266.0,34274.0,56.0,42.0
281,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0
282,0.0,1842.0,81.0,302.0,30.0,3411.0,20601.0,8.0,2.0
284,1265.0,17220.0,5041.0,8.0,6.0,1097.0,5486.0,21542.0,0.0
293,60.0,8631.0,465.0,8.0,20.0,8220.0,3390.0,224.0,0.0
295,3733.0,3313.0,254.0,429.0,46.0,21286.0,11388.0,1415.0,0.0
297,427.0,3032.0,1070.0,843.0,348.0,2994.0,21340.0,132.0,0.0
302,206.0,32176.0,612.0,215.0,157.0,4123.0,162.0,40.0,9.0
304,139.0,13493.0,195.0,675.0,137.0,4212.0,27498.0,0.0,0.0
307,0.0,3563.0,143.0,104.0,77.0,11658.0,11290.0,0.0,0.0
309,431.0,15971.0,2928.0,698.0,136.0,18371.0,20403.0,192.0,3331.0
311,155.0,19607.0,1072.0,275.0,59.0,5262.0,18.0,138.0,16.0
316,28.0,3380.0,147.0,0.0,44.0,10190.0,0.0,0.0,0.0
319,19.0,39384.0,8699.0,200.0,17.0,72.0,1318.0,0.0,0.0
322,0.0,4037.0,553.0,1322.0,518.0,30255.0,3619.0,217.0,53.0
323,7452.0,16744.0,855.0,732.0,51.0,16006.0,12991.0,876.0,34.0
324,13.0,5556.0,4185.0,36.0,229.0,11485.0,18037.0,798.0,1616.0
325,0.0,1383.0,196.0,183.0,139.0,6168.0,240.0,0.0,0.0
327,1960.0,6426.0,8990.0,267.0,33.0,5082.0,26146.0,7433.0,4.0
329,3454.0,10747.0,327.0,188.0,93.0,1.0,8798.0,292.0,0.0
332,4.0,4541.0,145.0,261.0,0.0,7370.0,3665.0,23.0,0.0
339,693.0,24065.0,6665.0,564.0,139.0,0.0,9589.0,1006.0,15.0
340,14.0,6384.0,39.0,0.0,0.0,1.0,74.0,0.0,0.0
341,2307.0,8806.0,474.0,1269.0,26.0,11909.0,19461.0,980.0,9.0
344,4145.0,2371.0,95.0,1197.0,104.0,11346.0,18365.0,1797.0,6.0
346,811.0,31316.0,1432.0,353.0,43.0,1619.0,2343.0,193.0,0.0
349,8576.0,6689.0,165.0,1424.0,33.0,8077.0,5903.0,0.0,0.0
351,7219.0,9003.0,255.0,704.0,256.0,22611.0,21247.0,633.0,6.0
352,19008.0,36717.0,8471.0,1796.0,53.0,23512.0,38809.0,19239.0,92.0
