enrollment_id,count_access_browser,count_access_server,count_navigate_server,count_problem_browser,count_problem_server,count_page_close_browser,count_video_browser,count_discussion_server,count_wiki_server
1,17.0,81.0,15.0,73.0,5.0,49.0,12.0,0.0,0.0
4,0.0,36.0,13.0,5.0,1.0,6.0,2.0,0.0,0.0
5,87.0,99.0,23.0,122.0,15.0,58.0,27.0,20.0,0.0
7,101.0,80.0,18.0,70.0,17.0,47.0,31.0,24.0,0.0
13,101.0,63.0,13.0,114.0,34.0,22.0,28.0,4.0,0.0
14,0.0,26.0,19.0,8.0,2.0,5.0,0.0,0.0,0.0
18,4.0,39.0,10.0,11.0,3.0,10.0,2.0,3.0,0.0
20,0.0,53.0,35.0,0.0,0.0,23.0,5.0,1.0,1.0
22,22.0,39.0,0.0,55.0,1.0,32.0,25.0,0.0,0.0
23,0.0,51.0,18.0,0.0,0.0,21.0,10.0,0.0,0.0
26,5.0,133.0,19.0,4.0,1.0,34.0,11.0,1.0,0.0
28,15.0,27.0,11.0,11.0,1.0,14.0,9.0,0.0,0.0
35,6.0,68.0,40.0,29.0,4.0,20.0,2.0,10.0,1.0
39,3.0,73.0,17.0,6.0,3.0,48.0,15.0,3.0,2.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,52.0,244.0,116.0,33.0,17.0,130.0,19.0,977.0,0.0
53,16.0,141.0,39.0,26.0,7.0,86.0,20.0,48.0,3.0
55,9.0,79.0,46.0,13.0,2.0,48.0,12.0,18.0,4.0
58,52.0,140.0,42.0,104.0,5.0,60.0,16.0,32.0,1.0
60,7.0,50.0,23.0,33.0,6.0,0.0,0.0,11.0,3.0
65,0.0,26.0,9.0,1.0,1.0,21.0,3.0,0.0,1.0
67,7.0,79.0,32.0,5.0,2.0,39.0,5.0,16.0,2.0
70,0.0,37.0,18.0,9.0,1.0,2.0,1.0,13.0,1.0
73,6.0,49.0,15.0,23.0,4.0,18.0,0.0,0.0,0.0
74,2.0,126.0,34.0,3.0,0.0,79.0,23.0,23.0,10.0
76,1.0,38.0,6.0,19.0,6.0,9.0,0.0,0.0,0.0
80,0.0,7.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0
81,2.0,103.0,20.0,30.0,9.0,54.0,10.0,4.0,0.0
82,0.0,65.0,21.0,11.0,3.0,37.0,12.0,29.0,4.0
83,0.0,14.0,9.0,1.0,0.0,5.0,0.0,0.0,0.0
86,4.0,54.0,22.0,36.0,3.0,9.0,0.0,28.0,1.0
88,0.0,116.0,28.0,24.0,3.0,43.0,16.0,27.0,5.0
90,6.0,122.0,22.0,19.0,1.0,43.0,8.0,4.0,0.0
94,0.0,48.0,20.0,5.0,1.0,23.0,3.0,4.0,2.0
96,27.0,49.0,10.0,29.0,3.0,31.0,14.0,0.0,0.0
98,1.0,70.0,40.0,6.0,1.0,24.0,3.0,11.0,1.0
102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,33.0,160.0,16.0,40.0,8.0,6.0,1.0,2.0,0.0
107,13.0,41.0,17.0,25.0,5.0,3.0,0.0,18.0,0.0
109,0.0,13.0,5.0,0.0,0.0,8.0,2.0,0.0,0.0
112,40.0,134.0,45.0,45.0,4.0,8.0,2.0,21.0,2.0
120,9.0,1137.0,26.0,50.0,6.0,71.0,15.0,26.0,3.0
121,12.0,56.0,23.0,24.0,5.0,4.0,1.0,4.0,2.0
130,2.0,31.0,6.0,9.0,3.0,15.0,8.0,1.0,1.0
131,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
132,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
133,1.0,55.0,4.0,9.0,4.0,42.0,5.0,0.0,0.0
135,2.0,71.0,24.0,24.0,7.0,36.0,5.0,10.0,0.0
138,12.0,66.0,25.0,22.0,7.0,47.0,7.0,27.0,5.0
140,0.0,17.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
141,53.0,38.0,29.0,83.0,8.0,30.0,9.0,17.0,0.0
144,100.0,53.0,33.0,62.0,2.0,26.0,25.0,11.0,0.0
146,4.0,105.0,37.0,13.0,5.0,38.0,5.0,4.0,3.0
148,33.0,162.0,50.0,44.0,4.0,79.0,23.0,47.0,1.0
149,0.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
150,1.0,14.0,4.0,18.0,6.0,1.0,0.0,0.0,0.0
152,11.0,91.0,18.0,36.0,6.0,46.0,19.0,17.0,2.0
155,16.0,45.0,26.0,34.0,7.0,17.0,0.0,17.0,1.0
156,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
157,7.0,28.0,9.0,51.0,4.0,13.0,0.0,0.0,0.0
159,12.0,186.0,37.0,45.0,3.0,102.0,29.0,17.0,1.0
160,0.0,33.0,3.0,3.0,0.0,16.0,5.0,0.0,0.0
173,12.0,148.0,58.0,39.0,7.0,80.0,8.0,5.0,4.0
175,0.0,10.0,9.0,0.0,0.0,5.0,0.0,0.0,1.0
182,0.0,104.0,39.0,9.0,3.0,45.0,10.0,39.0,12.0
186,0.0,98.0,8.0,5.0,2.0,1.0,2.0,4.0,2.0
189,9.0,176.0,50.0,28.0,7.0,99.0,18.0,14.0,4.0
190,0.0,68.0,20.0,22.0,2.0,50.0,10.0,32.0,3.0
192,130.0,86.0,52.0,24.0,3.0,50.0,22.0,0.0,0.0
196,12.0,38.0,17.0,54.0,0.0,13.0,1.0,1.0,1.0
198,0.0,82.0,14.0,13.0,1.0,49.0,6.0,0.0,0.0
199,130.0,132.0,52.0,167.0,25.0,93.0,33.0,192.0,8.0
200,2.0,5.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0
201,9.0,67.0,9.0,29.0,8.0,34.0,4.0,2.0,0.0
204,0.0,21.0,11.0,5.0,3.0,3.0,0.0,9.0,0.0
209,1.0,55.0,13.0,17.0,9.0,33.0,3.0,0.0,0.0
212,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
216,1.0,37.0,18.0,4.0,1.0,20.0,1.0,4.0,2.0
221,3.0,65.0,25.0,21.0,2.0,31.0,2.0,3.0,1.0
226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,11.0,68.0,23.0,5.0,2.0,8.0,1.0,2.0,5.0
239,0.0,53.0,20.0,15.0,2.0,6.0,0.0,1.0,0.0
240,1.0,112.0,9.0,16.0,5.0,18.0,3.0,212.0,0.0
241,0.0,32.0,22.0,7.0,0.0,17.0,4.0,1.0,2.0
244,11.0,75.0,15.0,22.0,3.0,55.0,10.0,12.0,0.0
245,0.0,4.0,14.0,17.0,3.0,3.0,0.0,0.0,0.0
247,3.0,22.0,16.0,8.0,1.0,4.0,0.0,0.0,0.0
249,0.0,25.0,3.0,3.0,1.0,19.0,2.0,0.0,0.0
251,3.0,40.0,18.0,37.0,9.0,1.0,0.0,7.0,2.0
256,1.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
262,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
264,2.0,7.0,4.0,1.0,1.0,1.0,0.0,1.0,1.0
265,19.0,45.0,12.0,7.0,0.0,2.0,4.0,0.0,0.0
266,70.0,118.0,50.0,60.0,0.0,13.0,13.0,17.0,6.0
268,20.0,85.0,28.0,60.0,4.0,3.0,1.0,1.0,0.0
269,5.0,76.0,33.0,8.0,5.0,47.0,14.0,4.0,1.0
270,0.0,37.0,8.0,15.0,1.0,0.0,0.0,19.0,0.0
272,5.0,14.0,17.0,0.0,0.0,8.0,0.0,88.0,0.0
277,7.0,35.0,16.0,7.0,3.0,1.0,0.0,15.0,2.0
279,10.0,113.0,20.0,9.0,1.0,59.0,7.0,2.0,4.0
281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
282,0.0,46.0,15.0,11.0,3.0,25.0,0.0,2.0,1.0
284,42.0,62.0,65.0,5.0,1.0,34.0,41.0,271.0,0.0
293,4.0,28.0,4.0,3.0,1.0,14.0,4.0,1.0,0.0
295,32.0,175.0,28.0,43.0,3.0,110.0,24.0,31.0,0.0
297,10.0,72.0,19.0,11.0,4.0,45.0,12.0,8.0,0.0
302,3.0,117.0,36.0,18.0,2.0,26.0,8.0,4.0,2.0
304,5.0,109.0,13.0,15.0,2.0,58.0,11.0,0.0,0.0
307,0.0,75.0,12.0,8.0,0.0,34.0,4.0,1.0,0.0
309,1.0,128.0,44.0,17.0,3.0,52.0,16.0,6.0,6.0
311,3.0,118.0,23.0,16.0,3.0,47.0,5.0,14.0,3.0
316,4.0,19.0,2.0,2.0,2.0,5.0,0.0,0.0,0.0
319,3.0,27.0,19.0,11.0,2.0,6.0,1.0,0.0,0.0
322,0.0,66.0,17.0,17.0,3.0,22.0,4.0,13.0,2.0
323,14.0,117.0,54.0,36.0,7.0,53.0,13.0,21.0,2.0
324,1.0,66.0,48.0,3.0,0.0,33.0,5.0,38.0,37.0
325,0.0,15.0,9.0,8.0,2.0,5.0,0.0,0.0,0.0
327,13.0,52.0,18.0,58.0,5.0,49.0,8.0,6.0,1.0
329,39.0,45.0,23.0,73.0,14.0,12.0,13.0,8.0,0.0
332,3.0,42.0,11.0,2.0,0.0,23.0,3.0,3.0,0.0
339,14.0,37.0,16.0,39.0,5.0,0.0,0.0,3.0,1.0
340,1.0,28.0,7.0,0.0,0.0,3.0,2.0,0.0,0.0
341,13.0,86.0,41.0,52.0,3.0,29.0,5.0,6.0,3.0
344,11.0,137.0,8.0,47.0,4.0,81.0,18.0,19.0,2.0
346,13.0,100.0,9.0,28.0,3.0,69.0,20.0,7.0,0.0
349,17.0,55.0,16.0,49.0,2.0,39.0,15.0,0.0,0.0
351,1.0,94.0,22.0,15.0,2.0,53.0,8.0,10.0,1.0
352,25.0,113.0,47.0,64.0,11.0,65.0,22.0,143.0,6.0
355,2.0,38.0,8.0,18.0,6.0,13.0,2.0,0.0,0.0
357,5.0,55.0,23.0,0.0,0.0,33.0,17.0,0.0,1.0
358,0.0,3.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0
360,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
366,0.0,33.0,5.0,13.0,2.0,2.0,0.0,0.0,0.0
367,1.0,5.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0
370,0.0,3.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0
371,24.0,69.0,27.0,55.0,7.0,32.0,8.0,4.0,2.0
373,44.0,125.0,34.0,99.0,12.0,61.0,2.0,46.0,2.0
377,14.0,37.0,17.0,17.0,1.0,7.0,2.0,18.0,26.0
382,13.0,67.0,16.0,63.0,5.0,15.0,0.0,5.0,2.0
386,0.0,22.0,7.0,13.0,0.0,11.0,2.0,0.0,0.0
387,11.0,41.0,30.0,29.0,3.0,33.0,6.0,1.0,0.0
394,16.0,50.0,14.0,31.0,11.0,18.0,3.0,1.0,1.0
396,8.0,67.0,30.0,24.0,4.0,36.0,4.0,16.0,3.0
398,1.0,17.0,15.0,5.0,2.0,2.0,0.0,5.0,2.0
399,13.0,104.0,19.0,40.0,2.0,62.0,21.0,24.0,0.0
400,0.0,29.0,8.0,13.0,1.0,2.0,0.0,5.0,0.0
403,0.0,12.0,10.0,9.0,2.0,0.0,0.0,2.0,1.0
407,1.0,56.0,24.0,11.0,3.0,0.0,0.0,12.0,0.0
410,0.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0
412,4.0,51.0,13.0,8.0,1.0,15.0,1.0,0.0,4.0
414,24.0,108.0,35.0,36.0,7.0,67.0,30.0,5.0,2.0
419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
421,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
424,0.0,22.0,6.0,0.0,0.0,2.0,0.0,6.0,0.0
426,6.0,39.0,17.0,22.0,3.0,24.0,4.0,0.0,1.0
428,0.0,18.0,2.0,2.0,1.0,14.0,11.0,0.0,0.0
432,7.0,60.0,22.0,15.0,1.0,4.0,0.0,4.0,0.0
433,55.0,54.0,17.0,45.0,3.0,34.0,13.0,58.0,1.0
435,2.0,51.0,34.0,19.0,2.0,25.0,10.0,49.0,41.0
436,0.0,55.0,8.0,12.0,3.0,30.0,2.0,0.0,1.0
438,0.0,15.0,10.0,0.0,0.0,2.0,0.0,0.0,2.0
441,15.0,22.0,21.0,45.0,5.0,0.0,1.0,0.0,0.0
442,16.0,98.0,31.0,27.0,1.0,55.0,22.0,31.0,3.0
444,7.0,134.0,24.0,24.0,3.0,66.0,8.0,0.0,0.0
445,18.0,9.0,6.0,5.0,0.0,3.0,6.0,1.0,0.0
446,0.0,28.0,6.0,4.0,2.0,12.0,4.0,0.0,0.0
447,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
450,3.0,72.0,23.0,11.0,2.0,4.0,2.0,3.0,1.0
