enrollment_id,week1_activity_count,week2_activity_count,week3_activity_count,week4_activity_count,week5_activity_count
1,13,49,141,60,51
4,31,38,30,0,0
5,147,256,8,176,46
7,145,107,168,59,0
13,43,0,49,371,0
14,0,37,32,33,0
18,30,0,81,23,19
20,68,32,9,33,0
22,0,205,0,0,0
23,0,75,33,0,5
26,0,0,169,96,0
28,11,41,45,8,0
35,0,120,59,47,4
39,0,179,58,0,0
46,0,0,1,0,0
49,751,616,342,251,145
53,150,19,107,8,198
55,0,72,158,34,16
58,203,211,156,19,0
60,37,11,9,67,28
65,15,17,51,7,0
67,110,12,62,28,33
70,51,16,15,31,15
73,0,25,19,102,0
74,25,60,143,45,74
76,0,0,80,35,0
80,0,0,0,31,7
81,80,5,59,28,105
82,0,116,68,0,45
83,0,0,35,19,0
86,65,33,37,96,0
88,100,52,90,83,0
90,85,46,109,75,0
94,0,44,85,15,3
96,76,71,9,35,0
98,84,56,19,35,0
102,0,0,1,0,0
103,0,63,121,0,143
107,60,36,49,0,0
109,0,0,6,0,29
112,88,0,69,141,112
120,60,8,1271,90,0
121,0,0,156,0,18
130,61,23,11,0,0
131,0,0,5,0,0
132,10,0,0,1,0
133,0,0,124,37,0
135,0,38,169,14,7
138,0,0,0,181,75
140,16,8,10,5,0
141,0,150,185,2,0
144,107,47,43,129,68
146,32,96,76,70,8
148,52,157,172,142,0
149,0,0,0,0,19
150,0,0,0,39,14
152,91,49,108,59,0
155,67,59,55,38,0
156,0,0,0,9,0
157,0,0,103,17,4
159,0,135,237,186,0
160,0,0,0,40,37
173,104,113,150,116,2
175,0,0,0,0,30
182,0,206,60,46,9
186,0,0,121,42,0
189,160,155,176,14,29
190,0,83,1,103,74
192,145,15,91,194,18
196,0,0,109,35,0
198,68,41,47,82,17
199,181,309,321,203,0
200,7,0,0,11,0
201,51,35,10,122,0
204,0,31,0,17,33
209,40,73,47,5,0
212,0,0,9,0,0
216,91,19,3,0,0
221,50,25,70,57,0
226,0,0,0,0,1
230,0,0,0,1,0
235,0,109,56,0,0
239,0,81,51,19,24
240,0,0,101,259,277
241,0,10,94,8,5
244,82,5,8,160,0
245,6,4,43,0,2
247,47,4,37,13,0
249,0,0,23,32,22
251,56,35,52,0,25
256,0,0,9,0,0
262,0,0,0,0,3
264,0,0,34,0,0
265,38,20,63,3,0
266,110,68,73,64,76
268,50,44,83,117,0
269,114,68,48,7,0
270,26,46,23,15,10
272,0,0,63,74,27
277,73,8,21,29,0
279,57,62,90,97,0
281,0,0,1,0,0
282,0,36,65,36,11
284,223,284,44,50,19
293,34,39,8,0,0
295,69,109,69,129,140
297,0,113,107,17,0
302,148,43,33,32,27
304,72,22,57,126,0
307,52,14,16,83,12
309,0,122,26,97,132
311,36,122,64,48,4
316,0,0,39,12,0
319,38,25,42,26,0
322,0,64,74,43,17
323,42,139,8,212,0
324,0,0,123,161,7
325,0,16,39,0,0
327,70,55,103,72,3
329,76,19,66,112,0
332,21,27,41,19,4
339,45,20,54,49,0
340,14,19,21,0,0
341,58,105,98,0,47
344,0,0,223,143,42
346,0,0,133,163,0
349,34,2,127,69,0
351,73,30,107,66,4
352,270,69,164,161,26
355,0,0,25,61,31
357,0,47,51,42,33
358,0,0,13,0,0
360,0,0,0,0,9
366,0,0,103,0,0
367,0,0,20,0,0
370,0,0,0,0,15
371,0,5,180,17,56
373,0,350,0,76,104
377,0,74,50,33,21
382,38,65,9,91,57
386,0,0,0,68,1
387,0,11,30,63,104
394,0,0,153,47,0
396,93,38,42,72,0
398,0,0,64,0,0
399,63,36,220,43,0
400,8,0,28,27,28
403,0,43,20,12,0
407,0,0,118,14,12
410,0,0,14,0,0
412,0,0,0,93,40
414,99,30,97,87,67
419,0,0,0,0,1
420,0,0,1,0,0
421,0,0,3,0,0
424,0,0,0,39,22
426,0,34,35,18,59
428,0,0,0,14,54
432,53,24,55,14,1
433,38,118,222,17,0
435,0,225,0,22,32
436,25,37,37,40,15
438,0,0,33,0,0
441,29,24,25,78,0
442,107,91,126,0,8
444,100,28,35,61,128
445,0,0,44,20,0
446,0,0,0,36,37
447,0,0,0,2,0
450,10,137,28,0,0
452,32,38,40,76,50
454,15,6,9,27,24
458,0,248,206,205,10
463,0,0,1,0,0
464,50,44,65,71,0
469,67,46,42,61,22
471,75,42,22,8,0
480,0,41,63,16,21
484,0,0,0,42,95
486,0,0,21,51,18
490,0,76,46,19,0
