enrollment_id,week1_session_count,week2_session_count,week3_session_count,week4_session_count,week5_session_count
1,1,7,10,5,5
4,6,8,5,0,0
5,8,34,1,24,6
7,4,5,11,3,0
13,3,0,2,27,0
14,0,5,6,6,0
18,7,0,16,14,3
20,5,4,2,4,0
22,0,12,0,0,0
23,0,3,4,0,1
26,0,0,20,15,0
28,1,3,2,1,0
35,0,11,7,6,1
39,0,18,8,0,0
46,0,0,1,0,0
49,94,73,54,34,18
53,13,4,10,3,8
55,0,3,11,3,4
58,12,25,18,1,0
60,4,1,1,1,1
65,2,3,11,2,0
67,9,1,15,4,5
70,9,4,3,5,2
73,0,3,4,10,0
74,3,2,13,4,10
76,0,0,12,4,0
80,0,0,0,8,1
81,8,1,8,3,4
82,0,11,6,0,3
83,0,0,10,8,0
86,10,8,16,16,0
88,4,4,12,8,0
90,8,9,18,11,0
94,0,4,17,4,3
96,7,5,1,3,0
98,9,5,2,5,0
102,0,0,1,0,0
103,0,7,12,0,10
107,2,2,3,0,0
109,0,0,1,0,1
112,11,0,14,15,7
120,4,2,11,6,0
121,0,0,15,0,3
130,6,1,2,0,0
131,0,0,1,0,0
132,1,0,0,1,0
133,0,0,17,5,0
135,0,5,15,3,1
138,0,0,0,7,4
140,6,4,5,3,0
141,0,9,18,1,0
144,8,2,2,5,3
146,2,12,15,14,3
148,4,12,15,10,0
149,0,0,0,0,1
150,0,0,0,1,1
152,9,5,12,5,0
155,5,8,7,7,0
156,0,0,0,2,0
157,0,0,4,1,1
159,0,16,31,17,0
160,0,0,0,3,2
173,18,25,22,12,1
175,0,0,0,0,4
182,0,12,6,7,2
186,0,0,16,5,0
189,10,15,17,4,3
190,0,5,1,8,5
192,9,5,12,15,1
196,0,0,4,1,0
198,16,12,11,10,6
199,4,21,19,12,0
200,1,0,0,1,0
201,8,4,3,17,0
204,0,4,0,2,4
209,4,5,4,1,0
212,0,0,1,0,0
216,6,7,2,0,0
221,12,6,9,8,0
226,0,0,0,0,1
230,0,0,0,1,0
235,0,6,16,0,0
239,0,19,13,6,4
240,0,0,11,79,34
241,0,3,9,3,1
244,5,1,1,14,0
245,1,1,4,0,1
247,7,1,11,3,0
249,0,0,5,2,2
251,5,6,5,0,4
256,0,0,1,0,0
262,0,0,0,0,1
264,0,0,6,0,0
265,6,1,6,1,0
266,14,6,3,2,1
268,14,17,13,14,0
269,8,8,6,3,0
270,4,10,4,3,3
272,0,0,5,12,2
277,9,4,5,2,0
279,11,9,12,12,0
281,0,0,1,0,0
282,0,5,12,6,2
284,24,16,6,9,4
293,2,6,2,0,0
295,7,10,7,6,3
297,0,8,13,4,0
302,13,9,5,4,6
304,10,2,7,12,0
307,4,3,1,9,1
309,0,15,5,8,10
311,1,7,6,6,2
316,0,0,8,3,0
319,8,8,16,6,0
322,0,11,9,7,3
323,3,8,3,23,0
324,0,0,8,20,5
325,0,1,4,0,0
327,16,16,12,20,3
329,4,3,1,8,0
332,1,4,5,2,2
339,7,6,6,6,0
340,2,6,1,0,0
341,7,9,7,0,5
344,0,0,16,15,2
346,0,0,16,7,0
349,6,1,5,5,0
351,7,5,14,10,1
352,24,14,21,20,5
355,0,0,5,8,2
